equation_id,profile_type,time_delays,model_ratios
13,logarithmic,"[ 100.        106.262006  112.916138  119.986953  127.500543  135.484634
  143.968689  152.984017  162.563884  172.743644  183.56086   195.055452
  207.269835  220.249084  234.041094  248.69676   264.270165  280.818777
  298.403665  317.089719  336.945895  358.045466  380.466293  404.291113
  429.607845  456.509913  485.096589  515.473364  547.752335  582.052617
  618.500784  657.231338  698.387201  742.120246  788.591858  837.973524
  890.447473  946.207343 1005.4589   1068.420792 1135.325362 1206.419499
 1281.965555 1362.24231  1447.546    1538.191411 1634.513043 1736.866341
 1845.629008 1961.202399 2084.013003 2214.514014 2353.187005 2500.543706
 2657.127893 2823.517389 3000.326206 3188.2068   3387.852488]","[1.583615 1.58351  1.583055 1.578225 1.576431 1.576238 1.57473  1.572179
 1.569504 1.567028 1.56456  1.561396 1.557134 1.554156 1.552449 1.547374
 1.545529 1.540961 1.536643 1.533026 1.528961 1.524391 1.520218 1.516252
 1.510465 1.505664 1.500747 1.495128 1.488889 1.483501 1.476735 1.470433
 1.463685 1.457287 1.449651 1.442265 1.434778 1.426874 1.418785 1.41006
 1.401605 1.392476 1.383408 1.373886 1.363791 1.353708 1.343602 1.332793
 1.322    1.310915 1.299543 1.287843 1.275971 1.263718 1.251198 1.238718
 1.225774 1.212575 1.199245]"
14,gaussian,"[ 100.        106.262006  112.916138  119.986953  127.500543  135.484634
  143.968689  152.984017  162.563884  172.743644  183.56086   195.055452
  207.269835  220.249084  234.041094  248.69676   264.270165  280.818777
  298.403665  317.089719  336.945895  358.045466  380.466293  404.291113
  429.607845  456.509913  485.096589  515.473364  547.752335  582.052617
  618.500784  657.231338  698.387201  742.120246  788.591858  837.973524
  890.447473  946.207343 1005.4589   1068.420792 1135.325362 1206.419499
 1281.965555 1362.24231  1447.546    1538.191411 1634.513043 1736.866341
 1845.629008 1961.202399 2084.013003 2214.514014 2353.187005 2500.543706
 2657.127893 2823.517389 3000.326206 3188.2068   3387.852488]","[1.07155  1.071534 1.071277 1.067949 1.066765 1.066715 1.065747 1.064055
 1.062285 1.060665 1.059062 1.05698  1.054138 1.052212 1.051191 1.047818
 1.046729 1.043743 1.04095  1.038666 1.036085 1.033169 1.03055  1.028097
 1.024389 1.021394 1.01834  1.014818 1.010888 1.007577 1.003328 0.99943
 0.995248 0.991335 0.986589 0.982043 0.977455 0.972605 0.967653 0.962287
 0.957136 0.951544 0.94602  0.940207 0.934022 0.927868 0.921719 0.915106
 0.908523 0.901756 0.894806 0.887645 0.880376 0.872857 0.865164 0.857502
 0.849528 0.841383 0.83315 ]"
15,logarithmic,"[ 100.        106.262006  112.916138  119.986953  127.500543  135.484634
  143.968689  152.984017  162.563884  172.743644  183.56086   195.055452
  207.269835  220.249084  234.041094  248.69676   264.270165  280.818777
  298.403665  317.089719  336.945895  358.045466  380.466293  404.291113
  429.607845  456.509913  485.096589  515.473364  547.752335  582.052617
  618.500784  657.231338  698.387201  742.120246  788.591858  837.973524
  890.447473  946.207343 1005.4589   1068.420792 1135.325362 1206.419499
 1281.965555 1362.24231  1447.546    1538.191411 1634.513043 1736.866341
 1845.629008 1961.202399 2084.013003 2214.514014 2353.187005 2500.543706
 2657.127893 2823.517389 3000.326206 3188.2068   3387.852488]","[1.533397 1.533296 1.532855 1.52817  1.526431 1.526245 1.524783 1.52231
 1.519717 1.517317 1.514926 1.51186  1.507729 1.504844 1.503192 1.498273
 1.496489 1.492063 1.487882 1.48438  1.480445 1.47602  1.471981 1.468144
 1.462541 1.457896 1.453138 1.447701 1.441664 1.436453 1.429906 1.423811
 1.417284 1.411097 1.403712 1.39657  1.389331 1.381689 1.373869 1.365433
 1.357261 1.348436 1.339672 1.330468 1.320711 1.310966 1.3012   1.290754
 1.280325 1.269615 1.258627 1.247324 1.235854 1.224019 1.211927 1.199876
 1.187378 1.174636 1.161772]"
16,gaussian,"[ 100.        106.262006  112.916138  119.986953  127.500543  135.484634
  143.968689  152.984017  162.563884  172.743644  183.56086   195.055452
  207.269835  220.249084  234.041094  248.69676   264.270165  280.818777
  298.403665  317.089719  336.945895  358.045466  380.466293  404.291113
  429.607845  456.509913  485.096589  515.473364  547.752335  582.052617
  618.500784  657.231338  698.387201  742.120246  788.591858  837.973524
  890.447473  946.207343 1005.4589   1068.420792 1135.325362 1206.419499
 1281.965555 1362.24231  1447.546    1538.191411 1634.513043 1736.866341
 1845.629008 1961.202399 2084.013003 2214.514014 2353.187005 2500.543706
 2657.127893 2823.517389 3000.326206 3188.2068   3387.852488]","[1.229224 1.229158 1.228811 1.224928 1.223504 1.22338  1.222194 1.220169
 1.218048 1.216092 1.214149 1.211647 1.208264 1.205924 1.204618 1.200596
 1.199191 1.195593 1.192206 1.189392 1.186226 1.18266  1.179424 1.176364
 1.171846 1.168134 1.164337 1.159986 1.155149 1.151007 1.145768 1.140914
 1.135714 1.130807 1.124918 1.119242 1.113498 1.107431 1.101227 1.094525
 1.08805  1.081047 1.074102 1.066803 1.059056 1.051325 1.043583 1.035286
 1.027006 1.018498 1.009763 1.000769 0.991638 0.982205 0.972559 0.96294
 0.952951 0.942756 0.932454]"
17,exponential,"[ 100.        106.262006  112.916138  119.986953  127.500543  135.484634
  143.968689  152.984017  162.563884  172.743644  183.56086   195.055452
  207.269835  220.249084  234.041094  248.69676   264.270165  280.818777
  298.403665  317.089719  336.945895  358.045466  380.466293  404.291113
  429.607845  456.509913  485.096589  515.473364  547.752335  582.052617
  618.500784  657.231338  698.387201  742.120246  788.591858  837.973524
  890.447473  946.207343 1005.4589   1068.420792 1135.325362 1206.419499
 1281.965555 1362.24231  1447.546    1538.191411 1634.513043 1736.866341
 1845.629008 1961.202399 2084.013003 2214.514014 2353.187005 2500.543706
 2657.127893 2823.517389 3000.326206 3188.2068   3387.852488]","[2.375229 2.374627 2.373368 2.364329 2.360604 2.359658 2.356332 2.351099
 2.345582 2.340345 2.335049 2.328438 2.319798 2.313339 2.30903  2.298651
 2.293882 2.284169 2.274771 2.266479 2.257251 2.246974 2.237242 2.227706
 2.214758 2.203372 2.191582 2.178335 2.163769 2.150487 2.134515 2.119122
 2.102679 2.086593 2.068028 2.049625 2.030755 2.010844 1.990304 1.968323
 1.946519 1.923202 1.899688 1.875058 1.849103 1.822878 1.796331 1.768257
 1.739959 1.710907 1.681128 1.650579 1.619566 1.587752 1.555376 1.523032
 1.489858 1.456282 1.422576]"
18,exponential,"[ 100.        106.262006  112.916138  119.986953  127.500543  135.484634
  143.968689  152.984017  162.563884  172.743644  183.56086   195.055452
  207.269835  220.249084  234.041094  248.69676   264.270165  280.818777
  298.403665  317.089719  336.945895  358.045466  380.466293  404.291113
  429.607845  456.509913  485.096589  515.473364  547.752335  582.052617
  618.500784  657.231338  698.387201  742.120246  788.591858  837.973524
  890.447473  946.207343 1005.4589   1068.420792 1135.325362 1206.419499
 1281.965555 1362.24231  1447.546    1538.191411 1634.513043 1736.866341
 1845.629008 1961.202399 2084.013003 2214.514014 2353.187005 2500.543706
 2657.127893 2823.517389 3000.326206 3188.2068   3387.852488]","[1.492611 1.492345 1.491695 1.486428 1.484339 1.483915 1.482089 1.479146
 1.476051 1.473143 1.470219 1.466537 1.461673 1.458129 1.455889 1.450076
 1.447623 1.44227  1.437141 1.432706 1.427756 1.422228 1.417069 1.412074
 1.405114 1.399132 1.392967 1.386003 1.378326 1.371472 1.363103 1.355148
 1.34665  1.338441 1.328857 1.319453 1.309861 1.299748 1.289357 1.278215
 1.267271 1.255538 1.243785 1.231477 1.218494 1.205448 1.192308 1.178372
 1.164394 1.150063 1.135393 1.120352 1.105112 1.089472 1.073562 1.057714
 1.041425 1.024928 1.00837 ]"
19,gaussian,"[ 100.        106.262006  112.916138  119.986953  127.500543  135.484634
  143.968689  152.984017  162.563884  172.743644  183.56086   195.055452
  207.269835  220.249084  234.041094  248.69676   264.270165  280.818777
  298.403665  317.089719  336.945895  358.045466  380.466293  404.291113
  429.607845  456.509913  485.096589  515.473364  547.752335  582.052617
  618.500784  657.231338  698.387201  742.120246  788.591858  837.973524
  890.447473  946.207343 1005.4589   1068.420792 1135.325362 1206.419499
 1281.965555 1362.24231  1447.546    1538.191411 1634.513043 1736.866341
 1845.629008 1961.202399 2084.013003 2214.514014 2353.187005 2500.543706
 2657.127893 2823.517389 3000.326206 3188.2068   3387.852488]","[1.155367 1.155316 1.155003 1.151382 1.150064 1.149962 1.148869 1.146991
 1.145026 1.143216 1.14142  1.139103 1.135962 1.1338   1.132607 1.128875
 1.127593 1.124264 1.121133 1.118541 1.115622 1.112332 1.109354 1.106544
 1.102373 1.098959 1.09547  1.091466 1.087012 1.083211 1.07839  1.073933
 1.069157 1.064659 1.05925  1.054044 1.048779 1.043218 1.037535 1.031392
 1.025468 1.019056 1.012705 1.006029 0.998942 0.991877 0.984807 0.977228
 0.969671 0.961908 0.953941 0.945742 0.937422 0.92883  0.920048 0.911301
 0.902221 0.89296  0.883612]"
20,gaussian,"[ 100.        106.262006  112.916138  119.986953  127.500543  135.484634
  143.968689  152.984017  162.563884  172.743644  183.56086   195.055452
  207.269835  220.249084  234.041094  248.69676   264.270165  280.818777
  298.403665  317.089719  336.945895  358.045466  380.466293  404.291113
  429.607845  456.509913  485.096589  515.473364  547.752335  582.052617
  618.500784  657.231338  698.387201  742.120246  788.591858  837.973524
  890.447473  946.207343 1005.4589   1068.420792 1135.325362 1206.419499
 1281.965555 1362.24231  1447.546    1538.191411 1634.513043 1736.866341
 1845.629008 1961.202399 2084.013003 2214.514014 2353.187005 2500.543706
 2657.127893 2823.517389 3000.326206 3188.2068   3387.852488]","[1.245593 1.245535 1.245195 1.241317 1.239901 1.239785 1.238609 1.236593
 1.234482 1.232537 1.230605 1.228116 1.224745 1.222419 1.221129 1.217122
 1.215735 1.212155 1.208787 1.205995 1.20285  1.199308 1.196097 1.193065
 1.188574 1.184891 1.181127 1.176809 1.172007 1.167902 1.162702 1.15789
 1.152734 1.147873 1.142032 1.136407 1.130716 1.124705 1.118559 1.111918
 1.105508 1.098571 1.091696 1.08447  1.076798 1.069146 1.061485 1.053273
 1.04508  1.036663 1.028021 1.019124 1.010093 1.000761 0.991219 0.981709
 0.971829 0.961747 0.951559]"
21,exponential,"[ 100.        106.262006  112.916138  119.986953  127.500543  135.484634
  143.968689  152.984017  162.563884  172.743644  183.56086   195.055452
  207.269835  220.249084  234.041094  248.69676   264.270165  280.818777
  298.403665  317.089719  336.945895  358.045466  380.466293  404.291113
  429.607845  456.509913  485.096589  515.473364  547.752335  582.052617
  618.500784  657.231338  698.387201  742.120246  788.591858  837.973524
  890.447473  946.207343 1005.4589   1068.420792 1135.325362 1206.419499
 1281.965555 1362.24231  1447.546    1538.191411 1634.513043 1736.866341
 1845.629008 1961.202399 2084.013003 2214.514014 2353.187005 2500.543706
 2657.127893 2823.517389 3000.326206 3188.2068   3387.852488]","[2.180888 2.180379 2.179282 2.171223 2.167926 2.167122 2.16419  2.159556
 2.154673 2.150046 2.145371 2.139526 2.131872 2.126177 2.122414 2.113227
 2.10907  2.100498 2.092218 2.08494  2.076835 2.067805 2.059275 2.050935
 2.039558 2.029595 2.019287 2.007694 1.994942 1.983359 1.969392 1.955965
 1.941623 1.927626 1.91144  1.895428 1.879027 1.861727 1.843897 1.824813
 1.805922 1.785716 1.765371 1.744068 1.721623 1.698976 1.676083 1.651869
 1.627496 1.602492 1.576881 1.550624 1.523992 1.496684 1.468911 1.441199
 1.412779 1.384025 1.35518 ]"
22,gaussian,"[ 100.        106.262006  112.916138  119.986953  127.500543  135.484634
  143.968689  152.984017  162.563884  172.743644  183.56086   195.055452
  207.269835  220.249084  234.041094  248.69676   264.270165  280.818777
  298.403665  317.089719  336.945895  358.045466  380.466293  404.291113
  429.607845  456.509913  485.096589  515.473364  547.752335  582.052617
  618.500784  657.231338  698.387201  742.120246  788.591858  837.973524
  890.447473  946.207343 1005.4589   1068.420792 1135.325362 1206.419499
 1281.965555 1362.24231  1447.546    1538.191411 1634.513043 1736.866341
 1845.629008 1961.202399 2084.013003 2214.514014 2353.187005 2500.543706
 2657.127893 2823.517389 3000.326206 3188.2068   3387.852488]","[1.250681 1.25059  1.250207 1.246177 1.24468  1.244518 1.24326  1.241134
 1.238906 1.236845 1.234793 1.232162 1.228618 1.226145 1.224732 1.220516
 1.218992 1.215203 1.211626 1.208633 1.20527  1.20149  1.198042 1.194769
 1.189985 1.186024 1.181969 1.177334 1.172188 1.167751 1.162174 1.156985
 1.151429 1.146165 1.13988  1.133804 1.127647 1.121147 1.114496 1.107322
 1.100371 1.092866 1.085411 1.077581 1.06928  1.060988 1.052674 1.043782
 1.0349   1.025775 1.016412 1.006777 0.996997 0.986904 0.976589 0.966303
 0.955637 0.944763 0.933783]"
