equation_id,profile_type,time_delays,model_ratios
23,gaussian,"[ 100.        106.262006  112.916138  119.986953  127.500543  135.484634
  143.968689  152.984017  162.563884  172.743644  183.56086   195.055452
  207.269835  220.249084  234.041094  248.69676   264.270165  280.818777
  298.403665  317.089719  336.945895  358.045466  380.466293  404.291113
  429.607845  456.509913  485.096589  515.473364  547.752335  582.052617
  618.500784  657.231338  698.387201  742.120246  788.591858  837.973524
  890.447473  946.207343 1005.4589   1068.420792 1135.325362 1206.419499
 1281.965555 1362.24231  1447.546    1538.191411 1634.513043 1736.866341
 1845.629008 1961.202399 2084.013003 2214.514014 2353.187005 2500.543706
 2657.127893 2823.517389 3000.326206 3188.2068   3387.852488]","[1.192618 1.192581 1.192277 1.188601 1.187275 1.187191 1.186098 1.184206
 1.182227 1.180409 1.178606 1.176274 1.173105 1.170936 1.169758 1.165994
 1.164732 1.161383 1.158241 1.155652 1.152732 1.149439 1.146466 1.143669
 1.139488 1.136083 1.132607 1.128609 1.124156 1.120375 1.115557 1.111116
 1.106354 1.101882 1.096483 1.091298 1.086057 1.08052  1.074862 1.06874
 1.062846 1.056458 1.050136 1.043488 1.036422 1.029382 1.022341 1.014781
 1.007246 0.999502 0.991549 0.983358 0.975043 0.966446 0.95765  0.948886
 0.939773 0.930466 0.921058]"
24,polynomial,"[ 100.        106.262006  112.916138  119.986953  127.500543  135.484634
  143.968689  152.984017  162.563884  172.743644  183.56086   195.055452
  207.269835  220.249084  234.041094  248.69676   264.270165  280.818777
  298.403665  317.089719  336.945895  358.045466  380.466293  404.291113
  429.607845  456.509913  485.096589  515.473364  547.752335  582.052617
  618.500784  657.231338  698.387201  742.120246  788.591858  837.973524
  890.447473  946.207343 1005.4589   1068.420792 1135.325362 1206.419499
 1281.965555 1362.24231  1447.546    1538.191411 1634.513043 1736.866341
 1845.629008 1961.202399 2084.013003 2214.514014 2353.187005 2500.543706
 2657.127893 2823.517389 3000.326206 3188.2068   3387.852488]","[1.782159 1.782421 1.782425 1.778879 1.777847 1.778159 1.77743  1.775884
 1.774276 1.772872 1.771519 1.769641 1.766914 1.76529  1.764762 1.761532
 1.76101  1.758319 1.755901 1.754129 1.752063 1.749661 1.747667 1.745928
 1.742783 1.740542 1.738303 1.735589 1.732471 1.730165 1.726837 1.724012
 1.720942 1.718291 1.714749 1.711552 1.708413 1.705075 1.701735 1.698022
 1.694693 1.690968 1.687461 1.683749 1.679734 1.675909 1.672251 1.668192
 1.664338 1.660437 1.656493 1.652478 1.648527 1.644466 1.640395 1.636585
 1.632605 1.628639 1.624803]"
25,gaussian,"[ 100.        106.262006  112.916138  119.986953  127.500543  135.484634
  143.968689  152.984017  162.563884  172.743644  183.56086   195.055452
  207.269835  220.249084  234.041094  248.69676   264.270165  280.818777
  298.403665  317.089719  336.945895  358.045466  380.466293  404.291113
  429.607845  456.509913  485.096589  515.473364  547.752335  582.052617
  618.500784  657.231338  698.387201  742.120246  788.591858  837.973524
  890.447473  946.207343 1005.4589   1068.420792 1135.325362 1206.419499
 1281.965555 1362.24231  1447.546    1538.191411 1634.513043 1736.866341
 1845.629008 1961.202399 2084.013003 2214.514014 2353.187005 2500.543706
 2657.127893 2823.517389 3000.326206 3188.2068   3387.852488]","[1.798328 1.79798  1.797174 1.790881 1.788353 1.787799 1.785573 1.782014
 1.778267 1.774732 1.771171 1.766698 1.760811 1.756482 1.753691 1.74664
 1.743569 1.737037 1.730754 1.72528  1.719177 1.712367 1.705975 1.699759
 1.69118  1.683742 1.676063 1.667405 1.65787  1.649287 1.638869 1.628913
 1.618277 1.607953 1.595953 1.584133 1.572051 1.559309 1.546197 1.532148
 1.518295 1.503458 1.488556 1.472948 1.456488 1.439911 1.42318  1.405451
 1.387632 1.369349 1.350619 1.331407 1.311922 1.291926 1.271579 1.25129
 1.230455 1.209367 1.188211]"
26,logarithmic,"[ 100.        106.262006  112.916138  119.986953  127.500543  135.484634
  143.968689  152.984017  162.563884  172.743644  183.56086   195.055452
  207.269835  220.249084  234.041094  248.69676   264.270165  280.818777
  298.403665  317.089719  336.945895  358.045466  380.466293  404.291113
  429.607845  456.509913  485.096589  515.473364  547.752335  582.052617
  618.500784  657.231338  698.387201  742.120246  788.591858  837.973524
  890.447473  946.207343 1005.4589   1068.420792 1135.325362 1206.419499
 1281.965555 1362.24231  1447.546    1538.191411 1634.513043 1736.866341
 1845.629008 1961.202399 2084.013003 2214.514014 2353.187005 2500.543706
 2657.127893 2823.517389 3000.326206 3188.2068   3387.852488]","[1.474589 1.474495 1.474073 1.469561 1.467889 1.467715 1.466312 1.463934
 1.461442 1.459137 1.456841 1.453894 1.449923 1.447154 1.445574 1.440846
 1.439141 1.434891 1.430878 1.427521 1.423748 1.419505 1.415635 1.411961
 1.406587 1.402138 1.397583 1.392375 1.386591 1.381604 1.375334 1.3695
 1.363253 1.357336 1.350267 1.343434 1.336511 1.329201 1.321723 1.313654
 1.305841 1.297403 1.289025 1.280226 1.270897 1.261582 1.252249 1.242264
 1.232296 1.22206  1.211559 1.200756 1.189796 1.178485 1.16693  1.155415
 1.143474 1.131301 1.119012]"
27,gaussian,"[ 100.        106.262006  112.916138  119.986953  127.500543  135.484634
  143.968689  152.984017  162.563884  172.743644  183.56086   195.055452
  207.269835  220.249084  234.041094  248.69676   264.270165  280.818777
  298.403665  317.089719  336.945895  358.045466  380.466293  404.291113
  429.607845  456.509913  485.096589  515.473364  547.752335  582.052617
  618.500784  657.231338  698.387201  742.120246  788.591858  837.973524
  890.447473  946.207343 1005.4589   1068.420792 1135.325362 1206.419499
 1281.965555 1362.24231  1447.546    1538.191411 1634.513043 1736.866341
 1845.629008 1961.202399 2084.013003 2214.514014 2353.187005 2500.543706
 2657.127893 2823.517389 3000.326206 3188.2068   3387.852488]","[1.076456 1.076422 1.076141 1.072726 1.071496 1.07142  1.070407 1.068653
 1.066817 1.065131 1.063461 1.061299 1.058361 1.056352 1.055265 1.051775
 1.050611 1.047509 1.0446   1.042206 1.039505 1.036458 1.033711 1.031127
 1.027259 1.024114 1.020902 1.017209 1.013093 1.009603 1.005152 1.001052
 0.996656 0.992529 0.987545 0.982759 0.977924 0.972815 0.967596 0.961948
 0.956512 0.95062  0.94479  0.938659 0.932143 0.925652 0.91916  0.91219
 0.905243 0.898104 0.890774 0.883224 0.87556  0.867638 0.859534 0.851461
 0.843068 0.8345   0.825842]"
28,exponential,"[ 100.        106.262006  112.916138  119.986953  127.500543  135.484634
  143.968689  152.984017  162.563884  172.743644  183.56086   195.055452
  207.269835  220.249084  234.041094  248.69676   264.270165  280.818777
  298.403665  317.089719  336.945895  358.045466  380.466293  404.291113
  429.607845  456.509913  485.096589  515.473364  547.752335  582.052617
  618.500784  657.231338  698.387201  742.120246  788.591858  837.973524
  890.447473  946.207343 1005.4589   1068.420792 1135.325362 1206.419499
 1281.965555 1362.24231  1447.546    1538.191411 1634.513043 1736.866341
 1845.629008 1961.202399 2084.013003 2214.514014 2353.187005 2500.543706
 2657.127893 2823.517389 3000.326206 3188.2068   3387.852488]","[1.388007 1.387781 1.387201 1.38234  1.380429 1.380068 1.378408 1.375715
 1.372886 1.370233 1.36757  1.364208 1.359755 1.356531 1.354524 1.349206
 1.347012 1.342136 1.337474 1.333463 1.328984 1.323977 1.31932  1.314826
 1.308519 1.30313  1.297583 1.291307 1.284381 1.278231 1.270691 1.263547
 1.255915 1.248565 1.239956 1.231529 1.222943 1.21389  1.204595 1.19462
 1.184844 1.174353 1.163858 1.152863 1.141257 1.129606 1.11788  1.105429
 1.092949 1.080151 1.067046 1.053604 1.039982 1.025993 1.011756 0.997575
 0.982983 0.968195 0.953343]"
29,fourier,"[ 100.        106.262006  112.916138  119.986953  127.500543  135.484634
  143.968689  152.984017  162.563884  172.743644  183.56086   195.055452
  207.269835  220.249084  234.041094  248.69676   264.270165  280.818777
  298.403665  317.089719  336.945895  358.045466  380.466293  404.291113
  429.607845  456.509913  485.096589  515.473364  547.752335  582.052617
  618.500784  657.231338  698.387201  742.120246  788.591858  837.973524
  890.447473  946.207343 1005.4589   1068.420792 1135.325362 1206.419499
 1281.965555 1362.24231  1447.546    1538.191411 1634.513043 1736.866341
 1845.629008 1961.202399 2084.013003 2214.514014 2353.187005 2500.543706
 2657.127893 2823.517389 3000.326206 3188.2068   3387.852488]","[1.609248 1.609036 1.60843  1.602991 1.60089  1.600544 1.598737 1.595768
 1.59265  1.589738 1.586822 1.583122 1.578196 1.574669 1.572526 1.566649
 1.564313 1.558955 1.553849 1.549492 1.544617 1.539157 1.534108 1.529257
 1.522369 1.516535 1.510539 1.503734 1.49621  1.489585 1.481401 1.473688
 1.46544  1.457534 1.448219 1.439132 1.429887 1.420133 1.410126 1.399367
 1.388854 1.377547 1.366254 1.354409 1.34188  1.329311 1.316663 1.30319
 1.289683 1.275804 1.261559 1.246907 1.232018 1.216668 1.200983 1.185302
 1.169077 1.152541 1.135835]"
30,logarithmic,"[ 100.        106.262006  112.916138  119.986953  127.500543  135.484634
  143.968689  152.984017  162.563884  172.743644  183.56086   195.055452
  207.269835  220.249084  234.041094  248.69676   264.270165  280.818777
  298.403665  317.089719  336.945895  358.045466  380.466293  404.291113
  429.607845  456.509913  485.096589  515.473364  547.752335  582.052617
  618.500784  657.231338  698.387201  742.120246  788.591858  837.973524
  890.447473  946.207343 1005.4589   1068.420792 1135.325362 1206.419499
 1281.965555 1362.24231  1447.546    1538.191411 1634.513043 1736.866341
 1845.629008 1961.202399 2084.013003 2214.514014 2353.187005 2500.543706
 2657.127893 2823.517389 3000.326206 3188.2068   3387.852488]","[1.455601 1.455538 1.455161 1.450826 1.449244 1.449115 1.4478   1.445544
 1.443182 1.441005 1.438841 1.436051 1.432275 1.429667 1.428216 1.423723
 1.422162 1.418145 1.414363 1.411224 1.407689 1.403707 1.400094 1.396679
 1.391629 1.387482 1.383243 1.378381 1.372973 1.368347 1.362489 1.357066
 1.351254 1.345774 1.339192 1.332851 1.326435 1.319658 1.312732 1.305247
 1.298023 1.290208 1.282463 1.274326 1.265688 1.257076 1.248459 1.239223
 1.230015 1.220559 1.210857 1.200872 1.190743 1.180283 1.169591 1.158945
 1.147889 1.13661  1.125219]"
31,logarithmic,"[ 100.        106.262006  112.916138  119.986953  127.500543  135.484634
  143.968689  152.984017  162.563884  172.743644  183.56086   195.055452
  207.269835  220.249084  234.041094  248.69676   264.270165  280.818777
  298.403665  317.089719  336.945895  358.045466  380.466293  404.291113
  429.607845  456.509913  485.096589  515.473364  547.752335  582.052617
  618.500784  657.231338  698.387201  742.120246  788.591858  837.973524
  890.447473  946.207343 1005.4589   1068.420792 1135.325362 1206.419499
 1281.965555 1362.24231  1447.546    1538.191411 1634.513043 1736.866341
 1845.629008 1961.202399 2084.013003 2214.514014 2353.187005 2500.543706
 2657.127893 2823.517389 3000.326206 3188.2068   3387.852488]","[1.4842   1.484087 1.483639 1.479025 1.4773   1.477099 1.475644 1.473194
 1.470626 1.468246 1.465872 1.462833 1.458748 1.455884 1.454227 1.449362
 1.44757  1.443184 1.439034 1.435548 1.431634 1.427236 1.423214 1.419385
 1.413821 1.409192 1.404448 1.399034 1.393027 1.387824 1.381308 1.375229
 1.368721 1.362542 1.355182 1.348054 1.340827 1.333198 1.325388 1.316969
 1.308801 1.299989 1.291229 1.282032 1.272288 1.262549 1.252783 1.242347
 1.231921 1.221215 1.210233 1.198938 1.187478 1.175657 1.163584 1.15155
 1.139079 1.126373 1.113551]"
32,logarithmic,"[ 100.        106.262006  112.916138  119.986953  127.500543  135.484634
  143.968689  152.984017  162.563884  172.743644  183.56086   195.055452
  207.269835  220.249084  234.041094  248.69676   264.270165  280.818777
  298.403665  317.089719  336.945895  358.045466  380.466293  404.291113
  429.607845  456.509913  485.096589  515.473364  547.752335  582.052617
  618.500784  657.231338  698.387201  742.120246  788.591858  837.973524
  890.447473  946.207343 1005.4589   1068.420792 1135.325362 1206.419499
 1281.965555 1362.24231  1447.546    1538.191411 1634.513043 1736.866341
 1845.629008 1961.202399 2084.013003 2214.514014 2353.187005 2500.543706
 2657.127893 2823.517389 3000.326206 3188.2068   3387.852488]","[1.236037 1.236122 1.235978 1.232807 1.231763 1.23185  1.23104  1.229524
 1.227942 1.226521 1.225128 1.223276 1.220686 1.219015 1.218255 1.215186
 1.214391 1.211739 1.209295 1.207374 1.20518  1.202676 1.200488 1.198487
 1.195268 1.19278  1.19026  1.187302 1.183969 1.181277 1.177687 1.174474
 1.171011 1.16785  1.163893 1.160171 1.156442 1.152488 1.148471 1.144079
 1.13994  1.1354   1.130967 1.126286 1.121274 1.116333 1.11144  1.106123
 1.100876 1.095487 1.089955 1.084252 1.078481 1.072498 1.066377 1.060327
 1.053998 1.047531 1.041008]"
34,exponential,"[ 100.        106.262006  112.916138  119.986953  127.500543  135.484634
  143.968689  152.984017  162.563884  172.743644  183.56086   195.055452
  207.269835  220.249084  234.041094  248.69676   264.270165  280.818777
  298.403665  317.089719  336.945895  358.045466  380.466293  404.291113
  429.607845  456.509913  485.096589  515.473364  547.752335  582.052617
  618.500784  657.231338  698.387201  742.120246  788.591858  837.973524
  890.447473  946.207343 1005.4589   1068.420792 1135.325362 1206.419499
 1281.965555 1362.24231  1447.546    1538.191411 1634.513043 1736.866341
 1845.629008 1961.202399 2084.013003 2214.514014 2353.187005 2500.543706
 2657.127893 2823.517389 3000.326206 3188.2068   3387.852488]","[2.108955 2.108546 2.107593 2.100094 2.097086 2.096434 2.093788 2.089551
 2.085092 2.080886 2.076648 2.071324 2.064312 2.05916  2.055845 2.047444
 2.043796 2.036016 2.028534 2.022019 2.014753 2.006644 1.999035 1.991636
 1.981414 1.972556 1.963411 1.953096 1.94173  1.931507 1.919085 1.907217
 1.894535 1.882227 1.86791  1.853806 1.839389 1.824179 1.808523 1.791739
 1.775189 1.757452 1.739634 1.720961 1.701257 1.681405 1.661359 1.640101
 1.618721 1.596766 1.574253 1.551136 1.527663 1.503538 1.478952 1.454389
 1.42911  1.403458 1.377647]"
35,logarithmic,"[ 100.        106.262006  112.916138  119.986953  127.500543  135.484634
  143.968689  152.984017  162.563884  172.743644  183.56086   195.055452
  207.269835  220.249084  234.041094  248.69676   264.270165  280.818777
  298.403665  317.089719  336.945895  358.045466  380.466293  404.291113
  429.607845  456.509913  485.096589  515.473364  547.752335  582.052617
  618.500784  657.231338  698.387201  742.120246  788.591858  837.973524
  890.447473  946.207343 1005.4589   1068.420792 1135.325362 1206.419499
 1281.965555 1362.24231  1447.546    1538.191411 1634.513043 1736.866341
 1845.629008 1961.202399 2084.013003 2214.514014 2353.187005 2500.543706
 2657.127893 2823.517389 3000.326206 3188.2068   3387.852488]","[1.566042 1.565936 1.565482 1.560693 1.558912 1.558718 1.55722  1.554688
 1.552033 1.549575 1.547125 1.543985 1.539756 1.5368   1.535103 1.530067
 1.528232 1.523699 1.519413 1.515821 1.511785 1.507247 1.503103 1.499163
 1.493418 1.48865  1.483766 1.478186 1.471992 1.466639 1.45992  1.453661
 1.446959 1.440602 1.43302  1.425683 1.418246 1.410394 1.402359 1.393692
 1.385293 1.376225 1.367216 1.357757 1.347729 1.337712 1.327672 1.316935
 1.306213 1.295202 1.283905 1.272284 1.260492 1.248323 1.23589  1.223497
 1.210645 1.197543 1.184313]"
36,gaussian,"[ 100.        106.262006  112.916138  119.986953  127.500543  135.484634
  143.968689  152.984017  162.563884  172.743644  183.56086   195.055452
  207.269835  220.249084  234.041094  248.69676   264.270165  280.818777
  298.403665  317.089719  336.945895  358.045466  380.466293  404.291113
  429.607845  456.509913  485.096589  515.473364  547.752335  582.052617
  618.500784  657.231338  698.387201  742.120246  788.591858  837.973524
  890.447473  946.207343 1005.4589   1068.420792 1135.325362 1206.419499
 1281.965555 1362.24231  1447.546    1538.191411 1634.513043 1736.866341
 1845.629008 1961.202399 2084.013003 2214.514014 2353.187005 2500.543706
 2657.127893 2823.517389 3000.326206 3188.2068   3387.852488]","[1.245131 1.244986 1.244542 1.24044  1.238867 1.238626 1.237279 1.235055
 1.232721 1.230544 1.228367 1.2256   1.221909 1.219278 1.217697 1.213296
 1.211577 1.207576 1.203771 1.200536 1.196913 1.192855 1.189112 1.185524
 1.180404 1.176086 1.171653 1.166615 1.161044 1.156158 1.150105 1.144416
 1.138333 1.132517 1.125651 1.118967 1.112175 1.105012 1.097671 1.089779
 1.082086 1.073811 1.065563 1.056918 1.047781 1.038634 1.029451 1.019678
 1.009908 0.999893 0.989643 0.979131 0.96849  0.95756  0.946442 0.935396
 0.924023 0.912506 0.900957]"
37,gaussian,"[ 100.        106.262006  112.916138  119.986953  127.500543  135.484634
  143.968689  152.984017  162.563884  172.743644  183.56086   195.055452
  207.269835  220.249084  234.041094  248.69676   264.270165  280.818777
  298.403665  317.089719  336.945895  358.045466  380.466293  404.291113
  429.607845  456.509913  485.096589  515.473364  547.752335  582.052617
  618.500784  657.231338  698.387201  742.120246  788.591858  837.973524
  890.447473  946.207343 1005.4589   1068.420792 1135.325362 1206.419499
 1281.965555 1362.24231  1447.546    1538.191411 1634.513043 1736.866341
 1845.629008 1961.202399 2084.013003 2214.514014 2353.187005 2500.543706
 2657.127893 2823.517389 3000.326206 3188.2068   3387.852488]","[1.37039  1.370263 1.369813 1.365379 1.363706 1.363488 1.362069 1.359698
 1.357212 1.354903 1.352598 1.349655 1.34571  1.342929 1.341299 1.336601
 1.334835 1.330588 1.326563 1.32317  1.319362 1.31509  1.311171 1.307432
 1.302032 1.29752  1.292894 1.287622 1.281779 1.276697 1.270356 1.264426
 1.258081 1.252041 1.244869 1.237912 1.230851 1.2234   1.215769 1.207549
 1.199561 1.19095  1.18238  1.173386 1.163862 1.154335 1.144774 1.134566
 1.12436  1.113879 1.103129 1.092074 1.080855 1.069289 1.057477 1.045699
 1.033504 1.021085 1.008555]"
38,polynomial,"[ 100.        106.262006  112.916138  119.986953  127.500543  135.484634
  143.968689  152.984017  162.563884  172.743644  183.56086   195.055452
  207.269835  220.249084  234.041094  248.69676   264.270165  280.818777
  298.403665  317.089719  336.945895  358.045466  380.466293  404.291113
  429.607845  456.509913  485.096589  515.473364  547.752335  582.052617
  618.500784  657.231338  698.387201  742.120246  788.591858  837.973524
  890.447473  946.207343 1005.4589   1068.420792 1135.325362 1206.419499
 1281.965555 1362.24231  1447.546    1538.191411 1634.513043 1736.866341
 1845.629008 1961.202399 2084.013003 2214.514014 2353.187005 2500.543706
 2657.127893 2823.517389 3000.326206 3188.2068   3387.852488]","[2.235162 2.23549  2.235484 2.230896 2.229549 2.229934 2.228974 2.226956
 2.224856 2.223016 2.221239 2.218782 2.215223 2.213087 2.212364 2.208144
 2.207423 2.203894 2.200713 2.198364 2.195632 2.19246  2.189814 2.187496
 2.183351 2.180375 2.1774   2.173805 2.169682 2.166612 2.162212 2.158464
 2.154397 2.150874 2.146192 2.141958 2.137803 2.13339  2.128977 2.12408
 2.119693 2.114791 2.110186 2.105319 2.100063 2.09507  2.090312 2.085038
 2.080054 2.075027 2.069965 2.064833 2.059811 2.054671 2.049549 2.044809
 2.039876 2.035    2.030336]"
39,logarithmic,"[ 100.        106.262006  112.916138  119.986953  127.500543  135.484634
  143.968689  152.984017  162.563884  172.743644  183.56086   195.055452
  207.269835  220.249084  234.041094  248.69676   264.270165  280.818777
  298.403665  317.089719  336.945895  358.045466  380.466293  404.291113
  429.607845  456.509913  485.096589  515.473364  547.752335  582.052617
  618.500784  657.231338  698.387201  742.120246  788.591858  837.973524
  890.447473  946.207343 1005.4589   1068.420792 1135.325362 1206.419499
 1281.965555 1362.24231  1447.546    1538.191411 1634.513043 1736.866341
 1845.629008 1961.202399 2084.013003 2214.514014 2353.187005 2500.543706
 2657.127893 2823.517389 3000.326206 3188.2068   3387.852488]","[1.512277 1.512178 1.511743 1.50712  1.505404 1.505222 1.503781 1.501341
 1.498783 1.496416 1.494059 1.491034 1.48696  1.484115 1.482488 1.477637
 1.475879 1.471515 1.467392 1.463941 1.460062 1.455701 1.451721 1.44794
 1.442417 1.43784  1.433153 1.427795 1.421847 1.416713 1.410263 1.404258
 1.397828 1.391734 1.384459 1.377424 1.370295 1.362768 1.355066 1.346758
 1.33871  1.330019 1.321388 1.312325 1.302716 1.29312  1.283504 1.273218
 1.262948 1.252402 1.241583 1.230454 1.219161 1.207508 1.195603 1.183739
 1.171435 1.158892 1.146229]"
40,polynomial,"[ 100.        106.262006  112.916138  119.986953  127.500543  135.484634
  143.968689  152.984017  162.563884  172.743644  183.56086   195.055452
  207.269835  220.249084  234.041094  248.69676   264.270165  280.818777
  298.403665  317.089719  336.945895  358.045466  380.466293  404.291113
  429.607845  456.509913  485.096589  515.473364  547.752335  582.052617
  618.500784  657.231338  698.387201  742.120246  788.591858  837.973524
  890.447473  946.207343 1005.4589   1068.420792 1135.325362 1206.419499
 1281.965555 1362.24231  1447.546    1538.191411 1634.513043 1736.866341
 1845.629008 1961.202399 2084.013003 2214.514014 2353.187005 2500.543706
 2657.127893 2823.517389 3000.326206 3188.2068   3387.852488]","[2.000958 2.00125  2.001248 1.997213 1.996032 1.996376 1.995537 1.993769
 1.991929 1.990319 1.988766 1.986615 1.983496 1.981631 1.981009 1.977313
 1.976696 1.973611 1.970833 1.968788 1.966409 1.963644 1.961342 1.959329
 1.955713 1.953126 1.950539 1.947409 1.943819 1.941151 1.937319 1.934058
 1.930518 1.927455 1.923376 1.919689 1.916071 1.912225 1.908379 1.904107
 1.900278 1.895996 1.89197  1.887711 1.883109 1.878731 1.87455  1.869914
 1.865523 1.861086 1.856609 1.85206  1.847596 1.843018 1.838442 1.834182
 1.82974  1.825332 1.821091]"
41,logarithmic,"[ 100.        106.262006  112.916138  119.986953  127.500543  135.484634
  143.968689  152.984017  162.563884  172.743644  183.56086   195.055452
  207.269835  220.249084  234.041094  248.69676   264.270165  280.818777
  298.403665  317.089719  336.945895  358.045466  380.466293  404.291113
  429.607845  456.509913  485.096589  515.473364  547.752335  582.052617
  618.500784  657.231338  698.387201  742.120246  788.591858  837.973524
  890.447473  946.207343 1005.4589   1068.420792 1135.325362 1206.419499
 1281.965555 1362.24231  1447.546    1538.191411 1634.513043 1736.866341
 1845.629008 1961.202399 2084.013003 2214.514014 2353.187005 2500.543706
 2657.127893 2823.517389 3000.326206 3188.2068   3387.852488]","[1.392516 1.392448 1.392076 1.387869 1.386329 1.386196 1.384913 1.382719
 1.38042  1.3783   1.376193 1.373479 1.369809 1.367269 1.36585  1.361484
 1.359956 1.356048 1.352367 1.349308 1.345865 1.341987 1.338466 1.335136
 1.33022  1.326179 1.322046 1.317308 1.312041 1.307529 1.301824 1.296537
 1.290873 1.285527 1.279113 1.27293  1.266673 1.260065 1.253309 1.246011
 1.238963 1.23134  1.223784 1.215845 1.20742  1.199017 1.190606 1.181595
 1.172608 1.163379 1.153909 1.144165 1.134279 1.124071 1.113639 1.103249
 1.092463 1.081463 1.070355]"
43,logarithmic,"[ 100.        106.262006  112.916138  119.986953  127.500543  135.484634
  143.968689  152.984017  162.563884  172.743644  183.56086   195.055452
  207.269835  220.249084  234.041094  248.69676   264.270165  280.818777
  298.403665  317.089719  336.945895  358.045466  380.466293  404.291113
  429.607845  456.509913  485.096589  515.473364  547.752335  582.052617
  618.500784  657.231338  698.387201  742.120246  788.591858  837.973524
  890.447473  946.207343 1005.4589   1068.420792 1135.325362 1206.419499
 1281.965555 1362.24231  1447.546    1538.191411 1634.513043 1736.866341
 1845.629008 1961.202399 2084.013003 2214.514014 2353.187005 2500.543706
 2657.127893 2823.517389 3000.326206 3188.2068   3387.852488]","[1.500048 1.499942 1.499501 1.494879 1.493159 1.492967 1.491519 1.489073
 1.486509 1.484135 1.481768 1.478735 1.474654 1.471798 1.470156 1.465296
 1.463521 1.459144 1.455006 1.451536 1.447639 1.443257 1.439255 1.435449
 1.429904 1.4253   1.420583 1.415195 1.409215 1.404046 1.397561 1.391517
 1.385047 1.378909 1.37159  1.364506 1.357326 1.349747 1.341989 1.333623
 1.325514 1.316761 1.308063 1.298932 1.289253 1.279584 1.269891 1.259528
 1.249178 1.238551 1.227648 1.216434 1.205055 1.193316 1.181324 1.169373
 1.156983 1.144355 1.13161 ]"
44,logarithmic,"[ 100.        106.262006  112.916138  119.986953  127.500543  135.484634
  143.968689  152.984017  162.563884  172.743644  183.56086   195.055452
  207.269835  220.249084  234.041094  248.69676   264.270165  280.818777
  298.403665  317.089719  336.945895  358.045466  380.466293  404.291113
  429.607845  456.509913  485.096589  515.473364  547.752335  582.052617
  618.500784  657.231338  698.387201  742.120246  788.591858  837.973524
  890.447473  946.207343 1005.4589   1068.420792 1135.325362 1206.419499
 1281.965555 1362.24231  1447.546    1538.191411 1634.513043 1736.866341
 1845.629008 1961.202399 2084.013003 2214.514014 2353.187005 2500.543706
 2657.127893 2823.517389 3000.326206 3188.2068   3387.852488]","[1.430093 1.430091 1.429797 1.425784 1.424368 1.424326 1.423173 1.421142
 1.419018 1.417076 1.415154 1.412653 1.409231 1.40692  1.405707 1.401642
 1.400349 1.396755 1.393395 1.390653 1.387553 1.384046 1.380903 1.377962
 1.373497 1.369901 1.366235 1.362002 1.357274 1.353302 1.348192 1.343511
 1.338487 1.333797 1.328092 1.322637 1.317137 1.31132  1.305387 1.298952
 1.292789 1.286092 1.279488 1.272538 1.26514  1.257792 1.250462 1.242572
 1.234732 1.226679 1.218415 1.209905 1.201277 1.192354 1.183229 1.174162
 1.164719 1.155078 1.145339]"
45,gaussian,"[ 100.        106.262006  112.916138  119.986953  127.500543  135.484634
  143.968689  152.984017  162.563884  172.743644  183.56086   195.055452
  207.269835  220.249084  234.041094  248.69676   264.270165  280.818777
  298.403665  317.089719  336.945895  358.045466  380.466293  404.291113
  429.607845  456.509913  485.096589  515.473364  547.752335  582.052617
  618.500784  657.231338  698.387201  742.120246  788.591858  837.973524
  890.447473  946.207343 1005.4589   1068.420792 1135.325362 1206.419499
 1281.965555 1362.24231  1447.546    1538.191411 1634.513043 1736.866341
 1845.629008 1961.202399 2084.013003 2214.514014 2353.187005 2500.543706
 2657.127893 2823.517389 3000.326206 3188.2068   3387.852488]","[1.149017 1.148984 1.148692 1.145116 1.14383  1.143754 1.142695 1.14086
 1.13894  1.137178 1.135431 1.13317  1.130095 1.127994 1.126858 1.123206
 1.121991 1.118745 1.115702 1.113198 1.110373 1.107185 1.104312 1.10161
 1.097562 1.094272 1.090913 1.087048 1.082742 1.079091 1.074432 1.070142
 1.065541 1.061224 1.056007 1.050998 1.045938 1.04059  1.035127 1.029213
 1.023522 1.017353 1.011249 1.004828 0.998003 0.991203 0.984403 0.977099
 0.96982  0.962338 0.954654 0.946737 0.9387   0.930388 0.921883 0.913408
 0.904592 0.895587 0.886483]"
