Equations,Slope,Intercept,Equation ID,x (Thickness),y (Thermal Conductivity Profile),Tdelay,ModelRatio
y = 0.0125x + 10,0.0125,10,1,320,14.0,3188.2068,1.518752
y = 0.0125x + 10,0.0125,10,1,320,14.0,3387.852488,1.484377
y = 0.0125x + 10,0.0125,10,1,400,15.0,100.0,2.442539
y = 0.0125x + 10,0.0125,10,1,400,15.0,106.262006,2.441958
y = 0.0125x + 10,0.0125,10,1,400,15.0,112.916138,2.440706
y = 0.0125x + 10,0.0125,10,1,400,15.0,119.986953,2.431474
y = 0.0125x + 10,0.0125,10,1,400,15.0,127.500543,2.4277
y = 0.0125x + 10,0.0125,10,1,400,15.0,135.484634,2.426784
y = 0.0125x + 10,0.0125,10,1,400,15.0,143.968689,2.423429
y = 0.0125x + 10,0.0125,10,1,400,15.0,152.984017,2.418123
y = 0.0125x + 10,0.0125,10,1,400,15.0,162.563884,2.412531
y = 0.0125x + 10,0.0125,10,1,400,15.0,172.743644,2.407233
y = 0.0125x + 10,0.0125,10,1,400,15.0,183.56086,2.40188
y = 0.0125x + 10,0.0125,10,1,400,15.0,195.055452,2.395186
y = 0.0125x + 10,0.0125,10,1,400,15.0,207.269835,2.386416
y = 0.0125x + 10,0.0125,10,1,400,15.0,220.249084,2.379894
y = 0.0125x + 10,0.0125,10,1,400,15.0,234.041094,2.375589
y = 0.0125x + 10,0.0125,10,1,400,15.0,248.69676,2.365061
y = 0.0125x + 10,0.0125,10,1,400,15.0,264.270165,2.360303
y = 0.0125x + 10,0.0125,10,1,400,15.0,280.818777,2.350481
y = 0.0125x + 10,0.0125,10,1,400,15.0,298.403665,2.340994
y = 0.0125x + 10,0.0125,10,1,400,15.0,317.089719,2.332656
y = 0.0125x + 10,0.0125,10,1,400,15.0,336.945895,2.32337
y = 0.0125x + 10,0.0125,10,1,400,15.0,358.045466,2.313022
y = 0.0125x + 10,0.0125,10,1,400,15.0,380.466293,2.303248
y = 0.0125x + 10,0.0125,10,1,400,15.0,404.291113,2.293692
y = 0.0125x + 10,0.0125,10,1,400,15.0,429.607845,2.280649
y = 0.0125x + 10,0.0125,10,1,400,15.0,456.509913,2.269229
y = 0.0125x + 10,0.0125,10,1,400,15.0,485.096589,2.257412
