Equations,Slope,Intercept,Equation ID,x (Thickness),y (Thermal Conductivity Profile),Tdelay,ModelRatio
y = -0.0114x + 5.1,-0.011449999999999998,5.1,1001,80,4.183999999999999,100.0,1.447244
y = -0.0114x + 5.1,-0.011449999999999998,5.1,1001,160,3.268,100.0,1.447244
y = -0.0114x + 5.1,-0.011449999999999998,5.1,1001,240,2.352,100.0,1.447244
y = -0.0114x + 5.1,-0.011449999999999998,5.1,1001,320,1.436,100.0,1.447244
y = -0.0114x + 5.1,-0.011449999999999998,5.1,1001,400,0.5200000000000005,100.0,1.447244
y = -0.0114x + 5.1,-0.011449999999999998,5.1,1001,80,4.183999999999999,106.262006,1.446965
y = -0.0114x + 5.1,-0.011449999999999998,5.1,1001,160,3.268,106.262006,1.446965
y = -0.0114x + 5.1,-0.011449999999999998,5.1,1001,240,2.352,106.262006,1.446965
y = -0.0114x + 5.1,-0.011449999999999998,5.1,1001,320,1.436,106.262006,1.446965
y = -0.0114x + 5.1,-0.011449999999999998,5.1,1001,400,0.5200000000000005,106.262006,1.446965
y = -0.0114x + 5.1,-0.011449999999999998,5.1,1001,80,4.183999999999999,112.916138,1.446297
y = -0.0114x + 5.1,-0.011449999999999998,5.1,1001,160,3.268,112.916138,1.446297
y = -0.0114x + 5.1,-0.011449999999999998,5.1,1001,240,2.352,112.916138,1.446297
y = -0.0114x + 5.1,-0.011449999999999998,5.1,1001,320,1.436,112.916138,1.446297
y = -0.0114x + 5.1,-0.011449999999999998,5.1,1001,400,0.5200000000000005,112.916138,1.446297
y = -0.0114x + 5.1,-0.011449999999999998,5.1,1001,80,4.183999999999999,119.986953,1.44096
y = -0.0114x + 5.1,-0.011449999999999998,5.1,1001,160,3.268,119.986953,1.44096
y = -0.0114x + 5.1,-0.011449999999999998,5.1,1001,240,2.352,119.986953,1.44096
y = -0.0114x + 5.1,-0.011449999999999998,5.1,1001,320,1.436,119.986953,1.44096
y = -0.0114x + 5.1,-0.011449999999999998,5.1,1001,400,0.5200000000000005,119.986953,1.44096
y = -0.0114x + 5.1,-0.011449999999999998,5.1,1001,80,4.183999999999999,127.500543,1.438836
y = -0.0114x + 5.1,-0.011449999999999998,5.1,1001,160,3.268,127.500543,1.438836
y = -0.0114x + 5.1,-0.011449999999999998,5.1,1001,240,2.352,127.500543,1.438836
y = -0.0114x + 5.1,-0.011449999999999998,5.1,1001,320,1.436,127.500543,1.438836
y = -0.0114x + 5.1,-0.011449999999999998,5.1,1001,400,0.5200000000000005,127.500543,1.438836
y = -0.0114x + 5.1,-0.011449999999999998,5.1,1001,80,4.183999999999999,135.484634,1.438398
y = -0.0114x + 5.1,-0.011449999999999998,5.1,1001,160,3.268,135.484634,1.438398
y = -0.0114x + 5.1,-0.011449999999999998,5.1,1001,240,2.352,135.484634,1.438398
y = -0.0114x + 5.1,-0.011449999999999998,5.1,1001,320,1.436,135.484634,1.438398
y = -0.0114x + 5.1,-0.011449999999999998,5.1,1001,400,0.5200000000000005,135.484634,1.438398
y = -0.0114x + 5.1,-0.011449999999999998,5.1,1001,80,4.183999999999999,143.968689,1.436541
y = -0.0114x + 5.1,-0.011449999999999998,5.1,1001,160,3.268,143.968689,1.436541
y = -0.0114x + 5.1,-0.011449999999999998,5.1,1001,240,2.352,143.968689,1.436541
