Equations,Slope,Intercept,Equation ID,x (Thickness),y (Thermal Conductivity Profile),Tdelay,ModelRatio
y = -0.0117x + 5.2,-0.011675000000000001,5.2,1012,80,4.266,100.0,1.451819
y = -0.0117x + 5.2,-0.011675000000000001,5.2,1012,160,3.332,100.0,1.451819
y = -0.0117x + 5.2,-0.011675000000000001,5.2,1012,240,2.3979999999999997,100.0,1.451819
y = -0.0117x + 5.2,-0.011675000000000001,5.2,1012,320,1.4639999999999995,100.0,1.451819
y = -0.0117x + 5.2,-0.011675000000000001,5.2,1012,400,0.5299999999999994,100.0,1.451819
y = -0.0117x + 5.2,-0.011675000000000001,5.2,1012,80,4.266,106.262006,1.451537
y = -0.0117x + 5.2,-0.011675000000000001,5.2,1012,160,3.332,106.262006,1.451537
y = -0.0117x + 5.2,-0.011675000000000001,5.2,1012,240,2.3979999999999997,106.262006,1.451537
y = -0.0117x + 5.2,-0.011675000000000001,5.2,1012,320,1.4639999999999995,106.262006,1.451537
y = -0.0117x + 5.2,-0.011675000000000001,5.2,1012,400,0.5299999999999994,106.262006,1.451537
y = -0.0117x + 5.2,-0.011675000000000001,5.2,1012,80,4.266,112.916138,1.450864
y = -0.0117x + 5.2,-0.011675000000000001,5.2,1012,160,3.332,112.916138,1.450864
y = -0.0117x + 5.2,-0.011675000000000001,5.2,1012,240,2.3979999999999997,112.916138,1.450864
y = -0.0117x + 5.2,-0.011675000000000001,5.2,1012,320,1.4639999999999995,112.916138,1.450864
y = -0.0117x + 5.2,-0.011675000000000001,5.2,1012,400,0.5299999999999994,112.916138,1.450864
y = -0.0117x + 5.2,-0.011675000000000001,5.2,1012,80,4.266,119.986953,1.445503
y = -0.0117x + 5.2,-0.011675000000000001,5.2,1012,160,3.332,119.986953,1.445503
y = -0.0117x + 5.2,-0.011675000000000001,5.2,1012,240,2.3979999999999997,119.986953,1.445503
y = -0.0117x + 5.2,-0.011675000000000001,5.2,1012,320,1.4639999999999995,119.986953,1.445503
y = -0.0117x + 5.2,-0.011675000000000001,5.2,1012,400,0.5299999999999994,119.986953,1.445503
y = -0.0117x + 5.2,-0.011675000000000001,5.2,1012,80,4.266,127.500543,1.443367
y = -0.0117x + 5.2,-0.011675000000000001,5.2,1012,160,3.332,127.500543,1.443367
y = -0.0117x + 5.2,-0.011675000000000001,5.2,1012,240,2.3979999999999997,127.500543,1.443367
y = -0.0117x + 5.2,-0.011675000000000001,5.2,1012,320,1.4639999999999995,127.500543,1.443367
y = -0.0117x + 5.2,-0.011675000000000001,5.2,1012,400,0.5299999999999994,127.500543,1.443367
y = -0.0117x + 5.2,-0.011675000000000001,5.2,1012,80,4.266,135.484634,1.442923
y = -0.0117x + 5.2,-0.011675000000000001,5.2,1012,160,3.332,135.484634,1.442923
y = -0.0117x + 5.2,-0.011675000000000001,5.2,1012,240,2.3979999999999997,135.484634,1.442923
y = -0.0117x + 5.2,-0.011675000000000001,5.2,1012,320,1.4639999999999995,135.484634,1.442923
y = -0.0117x + 5.2,-0.011675000000000001,5.2,1012,400,0.5299999999999994,135.484634,1.442923
y = -0.0117x + 5.2,-0.011675000000000001,5.2,1012,80,4.266,143.968689,1.441055
y = -0.0117x + 5.2,-0.011675000000000001,5.2,1012,160,3.332,143.968689,1.441055
y = -0.0117x + 5.2,-0.011675000000000001,5.2,1012,240,2.3979999999999997,143.968689,1.441055
y = -0.0117x + 5.2,-0.011675000000000001,5.2,1012,320,1.4639999999999995,143.968689,1.441055
